ewh_sample_id,sample_uuid_bin,sample_uuid,sample_friendly_name,study_friendly_names,studies_set_up
6943740,...,2b37563c-7872-11ec-a00e-fa163eea3084,3429STDY11677678,"Team 112 R&D","2014-12-05 12:01:32"
6943741,...,2b397994-7872-11ec-a00e-fa163eea3084,3429STDY11677679,"Team 112 R&D","2014-12-05 12:01:32"
6943742,...,2b3b9f44-7872-11ec-a00e-fa163eea3084,3429STDY11677680,"Team 112 R&D","2014-12-05 12:01:32"
6943743,...,2b3da8ac-7872-11ec-a00e-fa163eea3084,3429STDY11677681,"Team 112 R&D","2014-12-05 12:01:32"
6943744,...,2b3fc7a4-7872-11ec-a00e-fa163eea3084,3429STDY11677682,"Team 112 R&D","2014-12-05 12:01:32"
6943745,...,2b41d01c-7872-11ec-a00e-fa163eea3084,3429STDY11677683,"Team 112 R&D","2014-12-05 12:01:32"
6943746,...,2b43e82a-7872-11ec-a00e-fa163eea3084,3429STDY11677684,"Team 112 R&D","2014-12-05 12:01:32"
6943747,...,2b4609ca-7872-11ec-a00e-fa163eea3084,3429STDY11677685,"Team 112 R&D","2014-12-05 12:01:32"
6943748,...,2b484028-7872-11ec-a00e-fa163eea3084,3429STDY11677686,"Team 112 R&D","2014-12-05 12:01:32"
6943749,...,2b4a8004-7872-11ec-a00e-fa163eea3084,3429STDY11677687,"Team 112 R&D","2014-12-05 12:01:32"
6943750,...,2b4cca1c-7872-11ec-a00e-fa163eea3084,3429STDY11677688,"Team 112 R&D","2014-12-05 12:01:32"
6943751,...,2b4f0502-7872-11ec-a00e-fa163eea3084,3429STDY11677689,"Team 112 R&D","2014-12-05 12:01:32"
6943752,...,2b514a56-7872-11ec-a00e-fa163eea3084,3429STDY11677690,"Team 112 R&D","2014-12-05 12:01:32"
6943753,...,2b53853c-7872-11ec-a00e-fa163eea3084,3429STDY11677691,"Team 112 R&D","2014-12-05 12:01:32"
6943754,...,2b55b97e-7872-11ec-a00e-fa163eea3084,3429STDY11677692,"Team 112 R&D","2014-12-05 12:01:32"
6943755,...,2b57d826-7872-11ec-a00e-fa163eea3084,3429STDY11677693,"Team 112 R&D","2014-12-05 12:01:32"
6943756,...,2b5dbaa2-7872-11ec-a00e-fa163eea3084,3429STDY11677694,"Team 112 R&D","2014-12-05 12:01:32"
6943757,...,2b600abe-7872-11ec-a00e-fa163eea3084,3429STDY11677695,"Team 112 R&D","2014-12-05 12:01:32"
6943758,...,2b643f62-7872-11ec-a00e-fa163eea3084,3429STDY11677696,"Team 112 R&D","2014-12-05 12:01:32"
6943759,...,2b6709b8-7872-11ec-a00e-fa163eea3084,3429STDY11677697,"Team 112 R&D","2014-12-05 12:01:32"
